Method,Accuracy,Positif_Precision,Positif_Recall,Positif_F1-Score,Positif_Support,Netral_Precision,Netral_Recall,Netral_F1-Score,Netral_Support,Negatif_Precision,Negatif_Recall,Negatif_F1-Score,Negatif_Support,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1-Score,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1-Score
AFINN,0.5893787202380952,0.8943567349680887,0.6543376751044483,0.7557479420948056,8138.0,0.030138474070051588,0.5336538461538461,0.05705474171164225,208.0,0.8080717488789237,0.3744804655029094,0.5117864243112752,2406.0,0.577522319305688,0.520823995587068,0.4415297027059077,0.8583300353031591,0.5893787202380952,0.6876397206042111
SentiWordNet,0.5764508928571429,0.8298673653184869,0.6227574342590317,0.7115479115479115,8138.0,0.020118343195266272,0.24519230769230768,0.03718556325191396,208.0,0.5113744075829384,0.4484621778886118,0.47785651018600533,2406.0,0.4537867053655639,0.43880397327998377,0.4088633283286103,0.7429326691769914,0.5764508928571429,0.6462085439770118
SenticNet,0.607421875,0.7963966404768356,0.7224133693782256,0.7576030927835051,8138.0,0.036576444769568395,0.2403846153846154,0.06349206349206349,208.0,0.30054917623564653,0.2502078137988362,0.2730777954184622,2406.0,0.3778407538273501,0.40433526618722576,0.36472431723134363,0.6707407997335866,0.607421875,0.6357519990750868
TextBlob,0.6847098214285714,0.9164769493454752,0.7914721061685918,0.8493999736252142,8138.0,0.039558089807555236,0.5336538461538461,0.07365627073656271,208.0,0.8823529411764706,0.33665835411471323,0.48736462093862815,2406.0,0.612795993443167,0.5539281021457171,0.4701402884334684,0.8918767366930838,0.6847098214285714,0.7533795356820626
