Method,Accuracy,Negatif_Precision,Negatif_Recall,Negatif_F1-Score,Negatif_Support,Netral_Precision,Netral_Recall,Netral_F1-Score,Netral_Support,Positif_Precision,Positif_Recall,Positif_F1-Score,Positif_Support,Macro_Avg_Precision,Macro_Avg_Recall,Macro_Avg_F1-Score,Weighted_Avg_Precision,Weighted_Avg_Recall,Weighted_Avg_F1-Score
AFINN,0.6012024048096193,0.6610169491525424,0.3611111111111111,0.46706586826347307,108.0,0.03821656050955414,0.5,0.07100591715976332,12.0,0.901060070671378,0.6728232189973615,0.770392749244713,379.0,0.5334311934444915,0.5113114433694909,0.43615484488931644,0.8283571062505842,0.6012024048096193,0.6879239213268907
SentiWordNet,0.6052104208416834,0.4673913043478261,0.39814814814814814,0.43,108.0,0.02912621359223301,0.25,0.05217391304347826,12.0,0.8421052631578947,0.6754617414248021,0.7496339677891655,379.0,0.44620759369931795,0.4412032965243167,0.4106026269442146,0.7414542488367017,0.6052104208416834,0.663682085668568
SenticNet,0.591182364729459,0.2553191489361702,0.2222222222222222,0.2376237623762376,108.0,0.05555555555555555,0.3333333333333333,0.09523809523809523,12.0,0.8018018018018018,0.7044854881266491,0.75,379.0,0.3708921687645092,0.42001368122740157,0.3609539525381109,0.6655791936566252,0.591182364729459,0.6233591652895608
TextBlob,0.6773547094188377,0.8648648648648649,0.2962962962962963,0.4413793103448276,108.0,0.05925925925925926,0.6666666666666666,0.10884353741496598,12.0,0.9113149847094801,0.7862796833773087,0.8441926345609065,379.0,0.6118130362778681,0.5830808821134239,0.46480516077356676,0.8807713341110411,0.6773547094188377,0.7393268466228547
